#23456123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCD123456789ABCDE123456789A123456789A1234567891234
  273 CH3          CRP          CH3+         E                                        6.50e-15  0.00e+00  0.00e+00  46
  274 YH3          CRP          YH3+         E                                        6.50e-15  0.00e+00  0.00e+00  46
  275 H2CO         CRP          CO           H2                                       3.46e-14  0.00e+00  0.00e+00  46
  276 H2YO         CRP          YO           H2                                       3.46e-14  0.00e+00  0.00e+00  46
  277 H2CZ         CRP          CZ           H2                                       3.46e-14  0.00e+00  0.00e+00  46
  278 H2YZ         CRP          YZ           H2                                       3.46e-14  0.00e+00  0.00e+00  46
  279 H2CS         CRP          H2           CS                                       1.95e-14  0.00e+00  0.00e+00  46
  280 H2YS         CRP          H2           YS                                       1.95e-14  0.00e+00  0.00e+00  46
  281 H2O2         CRP          OH           OH                                       1.95e-14  0.00e+00  0.00e+00  46
  282 H2OZ         CRP          ZH           OH                                       1.95e-14  0.00e+00  0.00e+00  46
  283 H2Z2         CRP          ZH           ZH                                       1.95e-14  0.00e+00  0.00e+00  46
  284 H2S2         CRP          HS           HS                                       1.95e-14  0.00e+00  0.00e+00  46
  285 H2SiO        CRP          SiO          H2                                       1.95e-14  0.00e+00  0.00e+00  46
  286 H2SiZ        CRP          SiZ          H2                                       1.95e-14  0.00e+00  0.00e+00  46
  287 HCCP         CRP          CCP          H                                        1.95e-14  0.00e+00  0.00e+00  46
  288 HYCP         CRP          YCP          H                                        9.75e-15  0.00e+00  0.00e+00  46
  289 HYCP         CRP          CYP          H                                        9.75e-15  0.00e+00  0.00e+00  46
  290 HCYP         CRP          YCP          H                                        9.75e-15  0.00e+00  0.00e+00  46
  291 HCYP         CRP          CYP          H                                        9.75e-15  0.00e+00  0.00e+00  46
  292 HYYP         CRP          YYP          H                                        1.95e-14  0.00e+00  0.00e+00  46
  293 NH3          CRP          NH           H2                                       7.02e-15  0.00e+00  0.00e+00  46
  294 NH3          CRP          NH2          H                                        1.72e-14  0.00e+00  0.00e+00  46
  295 NH3          CRP          NH3+         E                                        7.47e-15  0.00e+00  0.00e+00  46
  296 SiC2H        CRP          SiC2         H                                        1.95e-14  0.00e+00  0.00e+00  46
  297 SiCYH        CRP          SiCY         H                                        1.95e-14  0.00e+00  0.00e+00  46
  298 SiY2H        CRP          SiY2         H                                        1.95e-14  0.00e+00  0.00e+00  46
  299 SiC3         CRP          SiC2         C                                        1.95e-14  0.00e+00  0.00e+00  46
  300 SiC2Y        CRP          SiCY         C                                        1.30e-14  0.00e+00  0.00e+00  46
  301 SiC2Y        CRP          SiC2         Y                                        6.50e-15  0.00e+00  0.00e+00  46
  302 SiCY2        CRP          SiY2         C                                        6.50e-15  0.00e+00  0.00e+00  46
  303 SiCY2        CRP          SiCY         Y                                        1.30e-14  0.00e+00  0.00e+00  46
  304 SiCH2        CRP          SiC          H2                                       1.95e-14  0.00e+00  0.00e+00  46
  305 SiYH2        CRP          SiY          H2                                       1.95e-14  0.00e+00  0.00e+00  46
  306 SiH3         CRP          SiH2         H                                        1.95e-14  0.00e+00  0.00e+00  46
  307 C2H2N        CRP          CH2          CN                                       6.50e-14  0.00e+00  0.00e+00  46
  308 CYH2N        CRP          YH2          CN                                       3.25e-14  0.00e+00  0.00e+00  46
  309 CYH2N        CRP          CH2          YN                                       3.25e-14  0.00e+00  0.00e+00  46
  310 Y2H2N        CRP          YH2          YN                                       6.50e-14  0.00e+00  0.00e+00  46
  311 C2H2O        CRP          CH2          CO                                       1.19e-14  0.00e+00  0.00e+00  46
  312 CYH2O        CRP          YH2          CO                                       5.95e-15  0.00e+00  0.00e+00  46
  313 CYH2O        CRP          CH2          YO                                       5.95e-15  0.00e+00  0.00e+00  46
  314 Y2H2O        CRP          YH2          YO                                       1.19e-14  0.00e+00  0.00e+00  46
  315 C2H2Z        CRP          CH2          CZ                                       1.19e-14  0.00e+00  0.00e+00  46
  316 CYH2Z        CRP          YH2          CZ                                       5.95e-15  0.00e+00  0.00e+00  46
  317 CYH2Z        CRP          CH2          YZ                                       5.95e-15  0.00e+00  0.00e+00  46
  318 Y2H2Z        CRP          YH2          YZ                                       1.19e-14  0.00e+00  0.00e+00  46
  319 C2H2O        CRP          C2H2O+       E                                        1.59e-14  0.00e+00  0.00e+00  46
  320 CYH2O        CRP          CYH2O+       E                                        1.59e-14  0.00e+00  0.00e+00  46
