# 6066
# 5976
# First number is number of lines in the file 
# Second number is the number of reactions
# alpha values increased by 1e12 since I treat GRAIN- and GRAIN0 as separate species
  211 C+           CH           C2+          H                                        2.70e-09 -5.00e-01  0.00e+00   2
  212 C+           CH           CH+          C                                        2.70e-09 -5.00e-01  0.00e+00   2
  213 C+           ClO          ClO+         C                                        3.65e-09 -5.00e-01  0.00e+00   2
  214 C+           CP           CP+          C                                        2.58e-09 -5.00e-01  0.00e+00   2
  215 C+           HCl          CCl+         H                                        3.30e-09 -5.00e-01  0.00e+00   2
  216 C+           HF           CF+          H                                        7.20e-09 -1.50e-01  0.00e+00   2
  217 C+           HS           CS+          H                                        2.40e-09 -5.00e-01  0.00e+00   2
  218 C+           MgH          Mg+          CH                                       4.10e-09 -5.00e-01  0.00e+00   2
  219 C+           NaH          Na+          CH                                       2.20e-08 -5.00e-01  0.00e+00   2
  220 C+           NH           CN+          H                                        4.60e-09 -5.00e-01  0.00e+00   2
  221 C+           NO           NO+          C                                        4.80e-10 -5.00e-01  0.00e+00   2
  222 C+           NS           CS+          N                                        2.70e-09 -5.00e-01  0.00e+00   2
  223 C+           NS           NS+          C                                        2.70e-09 -5.00e-01  0.00e+00   2
  224 C+           O2           O+           CO                                       4.10e-10  0.00e+00  0.00e+00   2
  225 C+           O2           CO+          O                                        7.50e-10  0.00e+00  0.00e+00   2
  226 C+           OH           CO+          H                                        2.90e-09 -3.30e-01  0.00e+00   2
  227 C+           PH           PH+          C                                        1.99e-09 -5.00e-01  0.00e+00   2
  228 C+           PO           PO+          C                                        5.58e-09 -5.00e-01  0.00e+00   2
  229 C+           SiC          Si+          C2                                       2.56e-09 -5.00e-01  0.00e+00   2
  230 C+           SiC          SiC+         C                                        2.56e-09 -5.00e-01  0.00e+00   2
  231 C+           SiH          SiC+         H                                        3.78e-10 -5.00e-01  0.00e+00   2
  232 C+           SiN          SiC+         N                                        3.46e-09 -5.00e-01  0.00e+00   2
  233 C+           SiN          SiN+         C                                        3.46e-09 -5.00e-01  0.00e+00   2
  234 C+           SiO          Si+          CO                                       4.60e-09 -5.00e-01  0.00e+00   2
  235 C+           SiS          SiC+         S                                        2.50e-09 -5.00e-01  0.00e+00   2
  236 C+           SiS          SiS+         C                                        2.50e-09 -5.00e-01  0.00e+00   2
  237 C+           SO           S+           CO                                       1.10e-09 -5.00e-01  0.00e+00   2
  238 C+           SO           CO+          S                                        1.10e-09 -5.00e-01  0.00e+00   2
  239 C+           SO           CS+          O                                        1.10e-09 -5.00e-01  0.00e+00   2
  240 C+           SO           SO+          C                                        1.10e-09 -5.00e-01  0.00e+00   2
  241 C+           C2H          C3+          H                                        2.60e-09 -5.00e-01  0.00e+00   2
  242 C+           C2S          C2S+         C                                        1.72e-09 -5.00e-01  0.00e+00   2
  243 C+           C2S          C3+          S                                        1.72e-09 -5.00e-01  0.00e+00   2
  244 C+           CCO          C2O+         C                                        3.93e-09 -5.00e-01  0.00e+00   2
  245 C+           CCP          CP+          C2                                       1.46e-09 -5.00e-01  0.00e+00   2
  246 C+           CCP          CCP+         C                                        1.46e-09 -5.00e-01  0.00e+00   2
  247 C+           CH2          C2H+         H                                        4.34e-10 -5.00e-01  0.00e+00   2
  248 C+           CH2          CH2+         C                                        4.34e-10 -5.00e-01  0.00e+00   2
  249 C+           CO2          CO+          CO                                       1.10e-09  0.00e+00  0.00e+00   2
  250 C+           H2O          HCO+         H                                        8.90e-10 -5.00e-01  0.00e+00   2
  251 C+           H2O          HOC+         H                                        1.80e-09 -5.00e-01  0.00e+00   2
  252 C+           H2S          H2S+         C                                        3.20e-10 -5.00e-01  0.00e+00   2
  253 C+           H2S          HCS+         H                                        9.50e-10 -5.00e-01  0.00e+00   2
  254 C+           HCN          C2N+         H                                        4.75e-09 -5.00e-01  0.00e+00   2
  255 C+           HCN          CNC+         H                                        4.75e-09 -5.00e-01  0.00e+00   2
  256 C+           HCO          CH+          CO                                       6.70e-10 -5.00e-01  0.00e+00   2
  257 C+           HCO          HCO+         C                                        6.70e-10 -5.00e-01  0.00e+00   2
  258 C+           HCP          CCP+         H                                        5.85e-10 -5.00e-01  0.00e+00   2
  259 C+           HCP          HCP+         C                                        5.85e-10 -5.00e-01  0.00e+00   2
  260 C+           HCSi         SiC2+        H                                        3.01e-09 -5.00e-01  0.00e+00   2
  261 C+           HNC          C2N+         H                                        8.60e-09 -5.00e-01  0.00e+00   2
  262 C+           HNSi         SiNC+        H                                        4.79e-10 -5.00e-01  0.00e+00   2
  263 C+           HPO          HPO+         C                                        6.90e-09 -5.00e-01  0.00e+00   2
  264 C+           NaOH         HCO+         Na                                       6.40e-09 -5.00e-01  0.00e+00   2
