# 15762
# 15711
# First number is number of lines in the file 
# Second number is the number of reactions
  154 O2D          CRP          O2           D                                        9.75E-15  0.00E+00  0.00E+00  46
  155 OCN          CRP          CN           O                                        1.95E-14  0.00E+00  0.00E+00  46
  156 OCS          CRP          CO           S                                        6.96E-14  0.00E+00  0.00E+00  46
  157 OCS          CRP          OCS+         E                                        1.87E-14  0.00E+00  0.00E+00  46
  158 PH2          CRP          PH           H                                        1.95E-14  0.00E+00  0.00E+00  46
  159 PHD          CRP          PD           H                                        9.75E-15  0.00E+00  0.00E+00  46
  160 PHD          CRP          PH           D                                        9.75E-15  0.00E+00  0.00E+00  46
  161 PD2          CRP          PD           D                                        1.95E-14  0.00E+00  0.00E+00  46
  162 SiC2         CRP          SiC          C                                        1.95E-14  0.00E+00  0.00E+00  46
  163 SiH2         CRP          SiH          H                                        1.95E-14  0.00E+00  0.00E+00  46
  164 SiHD         CRP          SiD          H                                        9.75E-15  0.00E+00  0.00E+00  46
  165 SiHD         CRP          SiH          D                                        9.75E-15  0.00E+00  0.00E+00  46
  166 SiD2         CRP          SiD          D                                        1.95E-14  0.00E+00  0.00E+00  46
  167 SiNC         CRP          Si           CN                                       1.95E-14  0.00E+00  0.00E+00  46
  168 SiO2         CRP          SiO          O                                        1.95E-14  0.00E+00  0.00E+00  46
  169 SO2          CRP          SO           O                                        2.44E-14  0.00E+00  0.00E+00  46
  170 C2H2         CRP          C2H          H                                        6.69E-14  0.00E+00  0.00E+00  46
  171 C2HD         CRP          C2D          H                                        3.34E-14  0.00E+00  0.00E+00  46
  172 C2HD         CRP          C2H          D                                        3.34E-14  0.00E+00  0.00E+00  46
  173 C2D2         CRP          C2D          D                                        6.69E-14  0.00E+00  0.00E+00  46
  174 C2H2         CRP          C2H2+        E                                        1.70E-14  0.00E+00  0.00E+00  46
  175 C2HD         CRP          C2HD+        E                                        1.70E-14  0.00E+00  0.00E+00  46
  176 C2D2         CRP          C2D2+        E                                        1.70E-14  0.00E+00  0.00E+00  46
  177 C3H          CRP          C3           H                                        6.50E-14  0.00E+00  0.00E+00  46
  178 HC3          CRP          C3           H                                        6.50E-14  0.00E+00  0.00E+00  46
  179 C3N          CRP          C2           CN                                       2.28E-14  0.00E+00  0.00E+00  46
  180 C3O          CRP          C2           CO                                       8.58E-14  0.00E+00  0.00E+00  46
  181 C3P          CRP          CCP          C                                        1.95E-14  0.00E+00  0.00E+00  46
  182 C3S          CRP          C2           CS                                       1.95E-14  0.00E+00  0.00E+00  46
  183 C4           CRP          C3           C                                        1.30E-14  0.00E+00  0.00E+00  46
  184 CH3          CRP          CH2          H                                        6.50E-15  0.00E+00  0.00E+00  46
  185 CH2D         CRP          CHD          H                                        4.33E-15  0.00E+00  0.00E+00  46
  186 CH2D         CRP          CH2          D                                        2.17E-15  0.00E+00  0.00E+00  46
  187 CHD2         CRP          CD2          H                                        2.17E-15  0.00E+00  0.00E+00  46
  188 CHD2         CRP          CHD          D                                        4.33E-15  0.00E+00  0.00E+00  46
  189 CD3          CRP          CD2          D                                        6.50E-15  0.00E+00  0.00E+00  46
  190 CH3          CRP          CH3+         E                                        6.50E-15  0.00E+00  0.00E+00  46
  191 CH2D         CRP          CH2D+        E                                        6.50E-15  0.00E+00  0.00E+00  46
  192 CHD2         CRP          CHD2+        E                                        6.50E-15  0.00E+00  0.00E+00  46
  193 CD3          CRP          CD3+         E                                        6.50E-15  0.00E+00  0.00E+00  46
  194 H2CO         CRP          CO           H2                                       3.46E-14  0.00E+00  0.00E+00  46
  195 HDCO         CRP          CO           HD                                       3.46E-14  0.00E+00  0.00E+00  46
  196 D2CO         CRP          CO           D2                                       3.46E-14  0.00E+00  0.00E+00  46
  197 H2CS         CRP          H2           CS                                       1.95E-14  0.00E+00  0.00E+00  46
