# Numerical radiation field:  Lyman-alpha_100km.s-1
# wavelength: nm
# intensity: photons.s-1.cm-2.nm-1
# wavelength intensity
120.43100 9.55655e+01
120.43200 9.57343e+01
120.43300 9.59036e+01
120.43400 9.60733e+01
120.43500 9.62434e+01
120.43600 9.64140e+01
120.43700 9.65851e+01
120.43800 9.67566e+01
120.43900 9.69285e+01
120.44000 9.71010e+01
120.44100 9.72738e+01
120.44200 9.74472e+01
120.44300 9.76210e+01
120.44400 9.77953e+01
120.44500 9.79700e+01
120.44600 9.81452e+01
120.44700 9.83209e+01
120.44800 9.84971e+01
120.44900 9.86737e+01
120.45000 9.88508e+01
120.45100 9.90284e+01
120.45200 9.92065e+01
120.45300 9.93850e+01
120.45400 9.95640e+01
120.45500 9.97436e+01
120.45600 9.99236e+01
120.45700 1.00104e+02
120.45800 1.00285e+02
120.45900 1.00466e+02
120.46000 1.00648e+02
120.46100 1.00831e+02
120.46200 1.01014e+02
120.46300 1.01197e+02
120.46400 1.01381e+02
120.46500 1.01566e+02
120.46600 1.01751e+02
120.46700 1.01936e+02
120.46800 1.02122e+02
120.46900 1.02309e+02
120.47000 1.02496e+02
120.47100 1.02683e+02
120.47200 1.02871e+02
120.47300 1.03060e+02
120.47400 1.03249e+02
120.47500 1.03438e+02
120.47600 1.03628e+02
120.47700 1.03819e+02
120.47800 1.04010e+02
120.47900 1.04202e+02
120.48000 1.04394e+02
120.48100 1.04587e+02
120.48200 1.04780e+02
120.48300 1.04974e+02
120.48400 1.05168e+02
120.48500 1.05363e+02
120.48600 1.05559e+02
120.48700 1.05755e+02
120.48800 1.05951e+02
120.48900 1.06148e+02
120.49000 1.06346e+02
120.49100 1.06544e+02
120.49200 1.06743e+02
120.49300 1.06942e+02
120.49400 1.07142e+02
120.49500 1.07342e+02
120.49600 1.07543e+02
120.49700 1.07745e+02
120.49800 1.07947e+02
120.49900 1.08150e+02
120.50000 1.08353e+02
120.50100 1.08557e+02
120.50200 1.08761e+02
120.50300 1.08966e+02
120.50400 1.09172e+02
120.50500 1.09378e+02
120.50600 1.09585e+02
120.50700 1.09792e+02
120.50800 1.10000e+02
120.50900 1.10208e+02
120.51000 1.10417e+02
120.51100 1.10627e+02
120.51200 1.10837e+02
120.51300 1.11048e+02
120.51400 1.11260e+02
120.51500 1.11472e+02
120.51600 1.11685e+02
120.51700 1.11898e+02
120.51800 1.12112e+02
120.51900 1.12326e+02
120.52000 1.12542e+02
120.52100 1.12757e+02
120.52200 1.12974e+02
120.52300 1.13191e+02
120.52400 1.13408e+02
120.52500 1.13627e+02
120.52600 1.13846e+02
120.52700 1.14065e+02
120.52800 1.14285e+02
120.52900 1.14506e+02
120.53000 1.14728e+02
120.53100 1.14950e+02
120.53200 1.15172e+02
120.53300 1.15396e+02
120.53400 1.15620e+02
120.53500 1.15845e+02
120.53600 1.16070e+02
120.53700 1.16296e+02
120.53800 1.16523e+02
120.53900 1.16750e+02
120.54000 1.16978e+02
120.54100 1.17207e+02
120.54200 1.17436e+02
120.54300 1.17666e+02
120.54400 1.17897e+02
120.54500 1.18128e+02
120.54600 1.18360e+02
120.54700 1.18593e+02
120.54800 1.18826e+02
120.54900 1.19061e+02
120.55000 1.19295e+02
120.55100 1.19531e+02
120.55200 1.19767e+02
120.55300 1.20004e+02
120.55400 1.20242e+02
120.55500 1.20480e+02
120.55600 1.20719e+02
120.55700 1.20959e+02
120.55800 1.21199e+02
120.55900 1.21440e+02
120.56000 1.21682e+02
120.56100 1.21925e+02
120.56200 1.22168e+02
120.56300 1.22412e+02
120.56400 1.22657e+02
120.56500 1.22903e+02
120.56600 1.23149e+02
120.56700 1.23396e+02
120.56800 1.23644e+02
120.56900 1.23892e+02
120.57000 1.24142e+02
120.57100 1.24392e+02
120.57200 1.24642e+02
120.57300 1.24894e+02
120.57400 1.25146e+02
120.57500 1.25399e+02
120.57600 1.25653e+02
120.57700 1.25908e+02
120.57800 1.26163e+02
120.57900 1.26419e+02
120.58000 1.26676e+02
120.58100 1.26934e+02
120.58200 1.27193e+02
120.58300 1.27452e+02
120.58400 1.27712e+02
120.58500 1.27973e+02
120.58600 1.28235e+02
120.58700 1.28497e+02
120.58800 1.28761e+02
120.58900 1.29025e+02
120.59000 1.29290e+02
120.59100 1.29555e+02
120.59200 1.29822e+02
120.59300 1.30089e+02
120.59400 1.30358e+02
120.59500 1.30627e+02
120.59600 1.30897e+02
120.59700 1.31167e+02
120.59800 1.31439e+02
120.59900 1.31711e+02
120.60000 1.31985e+02
120.60100 1.32259e+02
120.60200 1.32534e+02
120.60300 1.32810e+02
120.60400 1.33086e+02
120.60500 1.33364e+02
120.60600 1.33642e+02
120.60700 1.33922e+02
120.60800 1.34202e+02
120.60900 1.34483e+02
120.61000 1.34765e+02
120.61100 1.35048e+02
120.61200 1.35331e+02
120.61300 1.35616e+02
120.61400 1.35902e+02
120.61500 1.36188e+02
120.61600 1.36475e+02
120.61700 1.36764e+02
120.61800 1.37053e+02
120.61900 1.37343e+02
120.62000 1.37634e+02
120.62100 1.37926e+02
120.62200 1.38219e+02
120.62300 1.38513e+02
120.62400 1.38807e+02
120.62500 1.39103e+02
120.62600 1.39400e+02
120.62700 1.39697e+02
120.62800 1.39996e+02
120.62900 1.40295e+02
120.63000 1.40596e+02
120.63100 1.40897e+02
120.63200 1.41200e+02
120.63300 1.41503e+02
120.63400 1.41807e+02
120.63500 1.42113e+02
120.63600 1.42419e+02
120.63700 1.42726e+02
120.63800 1.43035e+02
120.63900 1.43344e+02
120.64000 1.43654e+02
120.64100 1.43966e+02
120.64200 1.44278e+02
120.64300 1.44591e+02
120.64400 1.44906e+02
120.64500 1.45221e+02
120.64600 1.45538e+02
120.64700 1.45855e+02
120.64800 1.46174e+02
120.64900 1.46493e+02
120.65000 1.46814e+02
120.65100 1.47136e+02
120.65200 1.47458e+02
120.65300 1.47782e+02
120.65400 1.48107e+02
120.65500 1.48433e+02
120.65600 1.48760e+02
120.65700 1.49088e+02
120.65800 1.49417e+02
120.65900 1.49748e+02
120.66000 1.50079e+02
120.66100 1.50412e+02
120.66200 1.50745e+02
120.66300 1.51080e+02
120.66400 1.51416e+02
120.66500 1.51753e+02
120.66600 1.52091e+02
120.66700 1.52430e+02
120.66800 1.52770e+02
120.66900 1.53112e+02
120.67000 1.53454e+02
120.67100 1.53798e+02
120.67200 1.54143e+02
120.67300 1.54489e+02
120.67400 1.54836e+02
120.67500 1.55185e+02
120.67600 1.55535e+02
120.67700 1.55885e+02
120.67800 1.56237e+02
120.67900 1.56591e+02
120.68000 1.56945e+02
120.68100 1.57301e+02
120.68200 1.57657e+02
120.68300 1.58015e+02
120.68400 1.58375e+02
120.68500 1.58735e+02
120.68600 1.59097e+02
120.68700 1.59460e+02
120.68800 1.59824e+02
120.68900 1.60189e+02
120.69000 1.60556e+02
120.69100 1.60924e+02
120.69200 1.61293e+02
120.69300 1.61664e+02
120.69400 1.62036e+02
120.69500 1.62409e+02
120.69600 1.62783e+02
120.69700 1.63159e+02
120.69800 1.63536e+02
120.69900 1.63914e+02
120.70000 1.64294e+02
120.70100 1.64675e+02
120.70200 1.65057e+02
120.70300 1.65440e+02
120.70400 1.65825e+02
120.70500 1.66211e+02
120.70600 1.66599e+02
120.70700 1.66988e+02
120.70800 1.67378e+02
120.70900 1.67770e+02
120.71000 1.68163e+02
120.71100 1.68558e+02
120.71200 1.68954e+02
120.71300 1.69351e+02
120.71400 1.69749e+02
120.71500 1.70150e+02
120.71600 1.70551e+02
120.71700 1.70954e+02
120.71800 1.71358e+02
120.71900 1.71764e+02
120.72000 1.72171e+02
120.72100 1.72580e+02
120.72200 1.72990e+02
120.72300 1.73402e+02
120.72400 1.73815e+02
120.72500 1.74229e+02
120.72600 1.74645e+02
120.72700 1.75063e+02
120.72800 1.75482e+02
120.72900 1.75903e+02
120.73000 1.76325e+02
120.73100 1.76748e+02
120.73200 1.77173e+02
120.73300 1.77600e+02
120.73400 1.78028e+02
120.73500 1.78458e+02
120.73600 1.78889e+02
120.73700 1.79322e+02
120.73800 1.79757e+02
