# R [arcsec], Z [arcsec], Temperature [K]
1.515285, 0.749217, 31.060483
1.518354, 0.449530, 33.735079
1.529203, 0.686782, 28.524534
1.531564, 0.749217, 31.065540
1.533452, 0.462017, 32.378084
1.534564, 0.536939, 32.257407
1.539067, 0.486991, 29.460635
1.545076, 0.686782, 28.909573
1.546508, 0.536939, 32.171178
1.553150, 0.462017, 32.079142
1.557537, 0.736730, 30.992840
1.558617, 0.536939, 31.991936
1.571104, 0.699269, 29.144386
1.571298, 0.599374, 29.626686
1.572223, 0.536939, 29.459618
1.573193, 0.636835, 31.557086
1.575778, 0.474504, 31.790989
1.582753, 0.586887, 29.658526
1.583513, 0.724243, 30.931750
1.584055, 0.549426, 31.832601
1.587062, 0.699269, 29.334705
1.589932, 0.536939, 29.587342
1.594552, 0.574400, 29.720462
1.595601, 0.636835, 31.441947
1.596380, 0.549426, 32.102994
1.596870, 0.699269, 29.880900
1.600066, 0.511965, 33.399874
1.601939, 0.511965, 33.733663
1.603112, 0.724243, 29.493593
1.605257, 0.524452, 32.209793
1.606687, 0.561913, 29.862392
1.609491, 0.711756, 30.907500
1.609491, 0.761704, 29.737658
1.609787, 0.511965, 32.881115
1.610903, 0.511965, 33.802583
1.615441, 0.524452, 31.455657
1.620065, 0.511965, 33.634067
1.620443, 0.649322, 31.462835
1.621891, 0.561913, 32.288147
1.625252, 0.561913, 29.961427
1.625808, 0.524452, 30.959289
1.629393, 0.886574, 28.728324
1.634421, 0.561913, 32.240698
1.635472, 0.724243, 30.838047
1.635472, 0.774191, 30.062672
1.636353, 0.524452, 30.805466
1.637818, 0.549426, 30.011031
1.640316, 0.649322, 31.553187
1.644543, 0.886574, 28.763025
1.647073, 0.524452, 30.698124
1.651777, 0.699269, 30.830361
1.651777, 0.799165, 30.402850
1.658427, 0.561913, 25.980827
1.659796, 0.911548, 28.724528
1.659997, 0.549426, 32.387627
1.662102, 0.774191, 29.784353
1.664360, 0.973982, 26.872757
1.664546, 0.924034, 28.794851
1.665654, 0.599374, 29.877120
1.668163, 0.699269, 30.730847
1.668163, 0.799165, 30.761724
1.668591, 0.674295, 30.118569
1.670751, 0.849113, 31.481536
1.672719, 0.549426, 32.509967
1.674239, 0.599374, 31.513706
1.676748, 0.524452, 25.425955
1.680093, 0.949008, 28.753849
1.681143, 0.686782, 30.033379
1.681244, 0.774191, 30.133973
1.682710, 0.699269, 30.437286
1.684627, 0.699269, 30.579732
1.685426, 0.961495, 28.778950
1.685583, 0.549426, 32.415237
1.691144, 0.973982, 28.745774
1.691589, 0.611861, 29.046915
1.694117, 0.811652, 30.963070
1.698584, 0.549426, 32.028113
1.699504, 0.699269, 30.133512
1.699836, 0.686782, 29.920639
1.700407, 0.774191, 30.360229
1.707152, 0.998956, 28.636632
1.707282, 0.711756, 29.356943
1.707490, 0.711756, 29.722571
1.711721, 0.524452, 31.533031
1.712789, 0.724243, 29.737376
1.715344, 0.761704, 29.589468
1.717420, 0.749217, 28.737697
1.717527, 0.599374, 28.503224
1.719588, 0.774191, 30.608663
1.720073, 0.799165, 31.108811
1.723243, 0.998956, 28.627365
1.724533, 0.711756, 28.985244
1.724990, 0.524452, 30.730695
1.725995, 1.048904, 28.607451
1.729464, 0.611861, 31.547005
1.734360, 0.786678, 29.351215
1.735031, 0.749217, 28.652785
1.738788, 0.774191, 30.785508
1.739416, 0.998956, 29.081437
1.746033, 0.836626, 31.223828
1.746033, 1.011443, 29.144175
1.749013, 0.611861, 31.468025
1.749013, 1.036417, 28.420061
1.752693, 0.749217, 28.702974
1.753012, 0.998956, 29.102885
1.753398, 0.786678, 29.346337
1.758005, 0.774191, 30.836089
1.761938, 0.586887, 31.253623
1.762450, 0.861600, 31.415228
1.765179, 1.023930, 28.404509
1.769591, 0.998956, 28.860705
1.769591, 0.874087, 31.795970
1.770276, 1.061391, 28.519787
1.770405, 0.749217, 28.803673
1.772458, 0.786678, 29.215403
1.772763, 0.736730, 28.997237
1.772763, 0.761704, 30.898234
1.777085, 1.011443, 29.356400
1.777085, 0.886574, 32.117985
1.778525, 0.849113, 28.658497
1.779323, 0.649322, 28.199473
1.781272, 0.636835, 28.048118
1.781580, 0.561913, 30.906470
1.785492, 0.661808, 30.657905
1.787633, 1.073878, 28.645078
1.788165, 0.749217, 28.868246
1.792063, 0.736730, 28.699700
1.793887, 0.911548, 32.216161
1.795768, 0.686782, 30.692459
1.796492, 0.749217, 30.932015
1.798208, 0.874087, 28.475578
1.801642, 0.924034, 32.044927
1.801879, 0.924034, 32.193282
1.804399, 0.574400, 30.466809
1.805200, 1.061391, 28.772142
1.806207, 0.686782, 30.722229
1.807205, 0.624348, 27.875280
1.810503, 0.936521, 31.665614
1.812134, 1.011443, 29.783783
1.816806, 0.686782, 30.582620
1.817898, 0.899061, 28.205180
1.821315, 0.624348, 27.691737
1.824949, 0.749217, 31.036490
1.827247, 1.048904, 28.691650
1.827306, 0.611861, 30.068857
1.827562, 0.686782, 30.275801
1.829611, 0.711756, 29.687032
1.831218, 1.111339, 30.666173
1.835535, 0.624348, 27.504280
1.838034, 0.998956, 30.184227
1.844871, 1.036417, 28.595701
1.846902, 0.961495, 28.154739
1.848893, 0.761704, 31.137302
1.849399, 0.711756, 29.270988
1.849862, 0.624348, 27.352248
1.851883, 0.874087, 28.712944
1.851883, 1.098852, 30.489902
1.852817, 0.636835, 27.269665
1.866506, 0.986469, 28.201889
1.866878, 1.023930, 28.396166
1.868049, 0.761704, 31.107209
1.871863, 1.098852, 30.422118
1.872682, 0.861600, 28.127786
1.873263, 0.998956, 30.399921
1.882557, 0.649322, 28.598936
1.887222, 0.761704, 30.917058
1.892017, 0.874087, 27.021573
1.892654, 1.086365, 30.457520
1.892907, 0.986469, 27.972342
1.894715, 0.861600, 27.416935
1.897968, 1.036417, 26.256952
1.899190, 1.011443, 30.441783
1.899619, 0.486991, 27.778101
1.902425, 0.649322, 28.915817
1.907814, 0.486991, 27.493583
1.911159, 0.874087, 27.147918
1.911824, 1.098852, 30.475592
1.915756, 1.011443, 30.576775
1.916425, 1.036417, 26.194908
1.918811, 0.824139, 26.904987
1.922295, 0.624348, 29.287480
1.927561, 0.936521, 27.619192
1.930318, 0.874087, 27.190965
1.931328, 0.499478, 27.179219
1.932388, 1.011443, 30.665750
1.935842, 0.549426, 26.392982
1.937204, 0.774191, 29.828613
1.947706, 0.774191, 29.430528
1.949083, 1.011443, 30.694293
1.949494, 0.874087, 27.063774
1.950763, 0.674295, 29.525335
1.951047, 0.924034, 26.873292
1.954906, 0.511965, 27.016859
1.955782, 0.549426, 25.790443
1.958631, 0.599374, 29.616157
1.968687, 0.874087, 26.745588
1.970111, 0.836626, 26.559343
1.970427, 0.924034, 26.018937
1.972471, 0.786678, 29.405518
1.973464, 0.549426, 25.300949
