# R [arcsec], Z [arcsec], Temperature [K]
1.550037, 0.412069, 14.815466
1.551101, 0.374609, 16.063453
1.552446, 0.274713, 13.323491
1.552847, 0.349635, 16.049980
1.554401, 0.174817, 16.354601
1.556110, 0.099896, 19.102742
1.560195, 0.337148, 16.194787
1.561068, 0.349635, 16.751732
1.562062, 0.062435, 15.680917
1.564796, 0.299687, 16.150685
1.564796, 0.049948, 16.850755
1.567263, 0.374609, 15.930219
1.569880, 0.287200, 12.883235
1.571174, 0.049948, 16.278134
1.573193, 0.187304, 15.443111
1.575778, 0.074922, 19.210582
1.575975, 0.424556, 14.986717
1.583513, 0.374609, 15.695507
1.584617, 0.337148, 17.286918
1.586977, 0.312174, 15.982037
1.590125, 0.424556, 15.364317
1.591282, 0.349635, 15.061274
1.592190, 0.174817, 14.649612
1.599848, 0.374609, 15.404110
1.602554, 0.349635, 14.923624
1.609273, 0.324661, 15.775070
1.613995, 0.349635, 14.711274
1.621461, 0.437043, 17.221709
1.621878, 0.437043, 14.606310
1.625601, 0.349635, 14.457100
1.631368, 0.162330, 13.025423
1.631681, 0.337148, 15.459836
1.632016, 0.037461, 13.793234
1.635972, 0.337148, 13.940264
1.637370, 0.349635, 14.193450
1.638471, 0.324661, 17.517638
1.640316, 0.124870, 18.903923
1.646993, 0.324661, 17.630696
1.653616, 0.424556, 16.115633
1.653631, 0.387096, 18.405927
1.655713, 0.374609, 17.662695
1.662075, 0.387096, 18.145864
1.662122, 0.112383, 19.002158
1.664628, 0.374609, 17.014884
1.670717, 0.337148, 17.285043
1.679552, 0.337148, 16.913280
1.681143, 0.312174, 19.227789
1.684049, 0.099896, 19.488265
1.688578, 0.387096, 16.330861
1.698229, 0.212278, 11.640031
1.699836, 0.312174, 19.275947
1.708333, 0.349635, 12.479594
1.718133, 0.212278, 11.053981
1.722789, 0.349635, 12.289263
1.724470, 0.299687, 20.235735
1.737309, 0.287200, 21.555398
1.738040, 0.187304, 10.504618
1.759613, 0.174817, 9.879127
1.761873, 0.274713, 22.376014
1.763292, 0.274713, 16.219264
1.770618, 0.437043, 13.292872
1.772117, 0.274713, 15.249706
1.774892, 0.262226, 23.088916
1.785690, 0.462017, 13.071064
1.793723, 0.262226, 23.027169
1.810929, 0.274713, 14.023404
1.818185, 0.249739, 22.385312
1.831459, 0.237252, 21.636292
1.833609, 0.462017, 12.822076
1.849898, 0.462017, 12.780072
1.850363, 0.237252, 20.260501
1.869289, 0.237252, 18.622219
1.872682, 0.187304, 12.973456
1.882161, 0.387096, 11.489539
1.888238, 0.212278, 17.360322
1.902011, 0.199791, 16.526153
1.905740, 0.012487, 14.651551
1.908834, 0.012487, 16.130985
1.910943, 0.362122, 13.748435
1.911198, 0.049948, 13.032157
1.921054, 0.199791, 15.759329
1.925369, 0.012487, 14.148663
1.926352, 0.299687, 18.594742
1.933504, 0.062435, 13.375216
1.934748, 0.024974, 16.240750
1.936078, 0.349635, 14.011408
1.945005, 0.012487, 13.659620
1.946498, 0.337148, 13.732335
1.947613, 0.349635, 14.072270
1.947706, 0.374609, 13.773000
1.951472, 0.387096, 13.214183
1.953817, 0.324661, 11.865845
1.955902, 0.349635, 18.430752
1.958356, 0.374609, 14.270701
1.959285, 0.349635, 14.000105
1.967561, 0.412069, 13.990365
1.971090, 0.349635, 13.740306
1.980529, 0.412069, 13.706379
1.983027, 0.349635, 13.423197
1.983190, 0.362122, 15.009102
1.995093, 0.349635, 13.697789
2.000062, 0.012487, 16.739709
2.007286, 0.349635, 13.931007
2.008055, 0.374609, 15.459595
2.019603, 0.349635, 14.053883
2.019963, 0.012487, 16.179944
2.038293, 0.349635, 10.815896
2.038293, 0.099896, 11.906000
